Policy_ID,Category,Page,Section,Title,Content,Status,
POL001,Terms & Conditions,Website,Introduction,Acceptance of Terms,"By accessing Pragya Connect, users agree to comply with all platform terms and policies.",Active,
POL002,Terms & Conditions,Website,Eligibility,User Eligibility,Users must provide accurate information during registration.,Active,
POL003,Terms & Conditions,Website,Account,Account Responsibility,Users are responsible for maintaining the confidentiality of their account credentials.,Active,
POL004,Terms & Conditions,Website,Acceptable Use,Lawful Use,The platform must only be used for educational and wellness purposes.,Active,
POL005,Terms & Conditions,Website,Restrictions,Prohibited Activities,"Users must not upload harmful, illegal, or misleading content.",Active,
POL006,Terms & Conditions,Website,Copyright,Intellectual Property,All content on Pragya Connect is protected by copyright and intellectual property laws.,Active,
POL007,Terms & Conditions,Website,External Links,Third-Party Links,Pragya Connect is not responsible for the content of external websites.,Active,
POL008,Terms & Conditions,Website,Termination,Account Suspension,Accounts violating platform policies may be suspended or terminated.,Active,
POL009,Terms & Conditions,Website,Updates,Policy Changes,Policies may be updated without prior notice.,Active,
POL010,Terms & Conditions,Website,Jurisdiction,Governing Law,These terms are governed by the applicable laws of India.,Active,
POL011,Privacy Policy,Privacy,Collection,Personal Information,We collect information required to create and manage user accounts.,Active,
POL012,Privacy Policy,Privacy,Usage,Use of Data,Personal data is used to improve services and user experience.,Active,
POL013,Privacy Policy,Privacy,Storage,Data Security,User information is stored securely using industry best practices.,Active,
POL014,Privacy Policy,Privacy,Cookies,Cookie Usage,Cookies are used to enhance website functionality and performance.,Active,
POL015,Privacy Policy,Privacy,Consent,User Consent,"By using the platform, users consent to data collection as described.",Active,
POL016,Privacy Policy,Privacy,Marketing,Communication,Marketing emails are sent only with user consent.,Active,
POL017,Privacy Policy,Privacy,Sharing,Third Party Sharing,Personal information is not sold to third parties.,Active,
POL018,Privacy Policy,Privacy,Access,User Rights,Users may request access to their stored personal information.,Active,
POL019,Privacy Policy,Privacy,Deletion,Account Deletion,Users may request permanent deletion of their account.,Active,
POL020,Privacy Policy,Privacy,Retention,Data Retention,User data is retained only as long as necessary.,Active,
POL021,Community Guidelines,Community,Respect,Respect Everyone,Treat all members with respect regardless of background.,Active,
POL022,Community Guidelines,Community,Behavior,Professional Conduct,Maintain polite and constructive communication.,Active,
POL023,Community Guidelines,Community,Spam,No Spam,Promotional and repetitive posts are prohibited.,Active,
POL024,Community Guidelines,Community,Harassment,Anti-Harassment,"Bullying, harassment, and abusive language are not permitted.",Active,
POL025,Community Guidelines,Community,Accuracy,Authentic Information,Share accurate and reliable educational information.,Active,
POL026,Community Guidelines,Community,Reporting,Report Violations,Users should report inappropriate content using reporting tools.,Active,
POL027,Community Guidelines,Community,Privacy,Respect Privacy,Do not share another user's personal information without permission.,Active,
POL028,Community Guidelines,Community,Discussion,Stay On Topic,"Discussions should focus on yoga, meditation, wellness, and education.",Active,
POL029,Community Guidelines,Community,Moderation,Moderator Decisions,Users must respect moderator decisions.,Active,
POL030,Community Guidelines,Community,Safety,Safe Environment,"Help maintain a positive, inclusive, and safe learning environment.",Active,
POL031,Code of Conduct,Community,Respect,Respect Teachers,"Treat mentors, instructors, and staff with respect and professionalism.",Active,
POL032,Code of Conduct,Community,Communication,Professional Language,Use appropriate and professional language in all interactions.,Active,
POL033,Code of Conduct,Community,Inclusivity,Inclusive Environment,"Discrimination based on gender, religion, race, or background is prohibited.",Active,
POL034,Code of Conduct,Community,Harassment,No Harassment,"Harassment, bullying, or intimidation of any member is not allowed.",Active,
POL035,Code of Conduct,Community,Boundaries,Personal Boundaries,"Respect physical, emotional, and verbal boundaries of others.",Active,
POL036,Code of Conduct,Community,Safety,Community Safety,Contribute to a safe and welcoming learning environment.,Active,
POL037,Code of Conduct,Community,Feedback,Constructive Feedback,Provide feedback respectfully and constructively.,Active,
POL038,Code of Conduct,Community,Responsibility,User Responsibility,Users are responsible for their actions and shared content.,Active,
POL039,Code of Conduct,Community,Integrity,Academic Integrity,Do not plagiarize or misrepresent educational content.,Active,
POL040,Code of Conduct,Community,Compliance,Policy Compliance,Users must comply with all platform policies and guidelines.,Active,
POL041,Content Policy,Content,Allowed,Educational Content,"Educational content related to yoga, wellness, mentorship, and learning is encouraged.",Active,
POL042,Content Policy,Content,Allowed,Research Content,"Research papers, studies, and verified information may be shared.",Active,
POL043,Content Policy,Content,Allowed,Community Discussions,Healthy discussions and knowledge sharing are encouraged.,Active,
POL044,Content Policy,Content,Restricted,Hate Speech,Hate speech or discriminatory content is strictly prohibited.,Active,
POL045,Content Policy,Content,Restricted,Violence,"Violent, threatening, or harmful content is not allowed.",Active,
POL046,Content Policy,Content,Restricted,Adult Content,"Adult, explicit, or inappropriate content is prohibited.",Active,
POL047,Content Policy,Content,Restricted,Fake Information,Sharing misinformation or fake news is not permitted.,Active,
POL048,Content Policy,Content,Restricted,Spam Content,Repeated promotional posts and spam are prohibited.,Active,
POL049,Content Policy,Content,Restricted,Illegal Activities,Content promoting illegal activities is prohibited.,Active,
POL050,Content Policy,Content,Review,Content Moderation,All reported content may be reviewed by moderators.,Active,
POL051,FAQ,Help,Account,How do I create an account?,Users can register using their email address and basic profile information.,Active,
POL052,FAQ,Help,Profile,How do I update my profile?,Profile information can be edited from the account settings page.,Active,
POL053,FAQ,Help,Mentors,How do I find a mentor?,Users can browse the mentor directory and send mentorship requests.,Active,
POL054,FAQ,Help,Resources,Where can I access resources?,Resources are available in the Resource Library section.,Active,
POL055,FAQ,Help,Events,How do I join an event?,Users can register for events through the Events module.,Active,
POL056,FAQ,Help,Password,How do I reset my password?,Password reset instructions are available on the login page.,Active,
POL057,FAQ,Help,Reporting,How do I report content?,Use the report option available on posts and comments.,Active,
POL058,FAQ,Help,Privacy,How is my data protected?,User information is secured according to the Privacy Policy.,Active,
POL059,FAQ,Help,Support,How do I contact support?,Users can contact support through the Help Center.,Active,
POL060,FAQ,Help,Policies,Where can I read platform policies?,All policies are available in the footer section of the website.,Active,
POL061,Mentor Policy,Mentor,Eligibility,Mentor Eligibility,All mentors must provide verified qualifications and relevant experience before approval.,Active,
POL062,Mentor Policy,Mentor,Verification,Identity Verification,Mentors must complete profile and identity verification.,Active,
POL063,Mentor Policy,Mentor,Conduct,Professional Conduct,Mentors must maintain respectful and ethical communication.,Active,
POL064,Mentor Policy,Mentor,Sessions,Session Responsibility,Mentors should conduct sessions on time and prepare quality content.,Active,
POL065,Mentor Policy,Mentor,Content,Educational Content,All learning materials shared by mentors must be accurate and authentic.,Active,
POL066,Mentor Policy,Mentor,Privacy,Confidentiality,Mentors must keep mentee information confidential.,Active,
POL067,Mentor Policy,Mentor,Payments,Honorarium,Payments are processed according to the platform policy.,Active,
POL068,Mentor Policy,Mentor,Violations,Policy Violations,Violation of platform policies may result in suspension.,Active,
POL069,Mentor Policy,Mentor,Feedback,Performance Review,Mentor ratings and feedback are regularly reviewed.,Active,
POL070,Mentor Policy,Mentor,Termination,Mentor Removal,The platform may remove mentors who repeatedly violate policies.,Active,
POL071,Student Policy,Student,Registration,Student Registration,Students must register using valid personal information.,Active,
POL072,Student Policy,Student,Attendance,Session Attendance,Students should attend registered sessions regularly.,Active,
POL073,Student Policy,Student,Behavior,Professional Behaviour,Students must respect mentors and fellow learners.,Active,
POL074,Student Policy,Student,Assignments,Assignment Submission,Assignments should be submitted before the deadline.,Active,
POL075,Student Policy,Student,Academic,Academic Integrity,Plagiarism and cheating are prohibited.,Active,
POL076,Student Policy,Student,Community,Community Participation,Students are encouraged to participate in discussions and events.,Active,
POL077,Student Policy,Student,Privacy,Privacy Protection,Students should not share personal information publicly.,Active,
POL078,Student Policy,Student,Reporting,Issue Reporting,Students may report abuse or inappropriate behaviour.,Active,
POL079,Student Policy,Student,Account,Account Security,Students are responsible for protecting their login credentials.,Active,
POL080,Student Policy,Student,Termination,Account Suspension,Accounts violating policies may be suspended.,Active,
POL081,Event Policy,Events,Registration,Event Registration,Users must register before attending platform events.,Active,
POL082,Event Policy,Events,Cancellation,Event Cancellation,Events may be rescheduled due to unforeseen circumstances.,Active,
POL083,Event Policy,Events,Attendance,Attendance Rules,Participants should join events on time.,Active,
POL084,Event Policy,Events,Certificates,Certificates,Certificates are issued only to eligible participants.,Active,
POL085,Event Policy,Events,Conduct,Event Behaviour,Participants must maintain respectful behaviour during events.,Active,
POL086,Event Policy,Events,Recording,Recording Policy,Recording sessions without permission is prohibited.,Active,
POL087,Event Policy,Events,Photography,Media Consent,Photos and videos may be captured with participant consent.,Active,
POL088,Event Policy,Events,Refund,Refund Policy,Refunds are processed according to the event refund policy.,Active,
POL089,Event Policy,Events,Safety,Participant Safety,Participants should follow all safety instructions.,Active,
POL090,Event Policy,Events,Updates,Schedule Updates,Schedule changes will be communicated through official channels.,Active,
POL091,Refund Policy,Payments,Refund,Refund Eligibility,Refund eligibility depends on the selected service or program.,Active,
POL092,Refund Policy,Payments,Cancellation,Cancellation Request,Cancellation requests must be submitted before the deadline.,Active,
POL093,Refund Policy,Payments,Processing,Refund Processing,Approved refunds are processed within the specified timeline.,Active,
POL094,Refund Policy,Payments,Non-Refundable,Non-Refundable Services,Certain digital products and completed services are non-refundable.,Active,
POL095,Refund Policy,Payments,Payment,Payment Methods,Refunds are issued using the original payment method whenever possible.,Active,
POL096,Refund Policy,Payments,Taxes,Applicable Charges,Applicable taxes and transaction charges may not be refundable.,Active,
POL097,Refund Policy,Payments,Exceptions,Special Cases,Exceptional refund requests are reviewed individually.,Active,
POL098,Refund Policy,Payments,Disputes,Payment Disputes,Users should contact support before raising payment disputes.,Active,
POL099,Refund Policy,Payments,Support,Support Assistance,Support is available for all payment-related queries.,Active,
POL100,Refund Policy,Payments,Updates,Policy Updates,Refund policy may be updated from time to time.,Active,
